site_id	binding_sha256	state	rationale_id	batch_id	evidence_ref
0000508f5d379987096eb28f4817fa4dc4e3233ba9cde1e991f71551479f8edb	43f647b9e2f21a36df744ddbd61eaddd39fd2b694e1fc752b400e587ea5bb892	resolved	resolved-construct-retired	fresh-reconcile-20260826	review-decision renamed-launcher case requires the path to be absent to exercise the rename detection; concrete same-line reason, minimal scope.; removal-evidence review-decision final source census confirms construct absent; reviewed history preserved
00040f13ead2d1b70cbf35f248eeddad6fac82cc336ba2a9cb5845e9a5d707ab	aa0cc06b75a2a0dbeef946a1ea66abd31e38cc0c001cba5c31c3e5722fd5ce16	retain	reviewed-scope-authority	batch-census-20260824	classification-batch sha256:artifact
000556ab06bab0ac172599354e5b501a1f8515963eec1581d1d7f35438a1f141	d7b850796ad4e26504c4453dfbd11b51a6b534f6b0a498e6357749eceb7031bf	retain	reviewed-scope-authority	batch-census-20260824	classification-batch sha256:artifact
0009428eed252c383063b873bb64bc9a981a84edff6c929ee9bc65bfa14b0d8b	d9934bcff2170e542ecac31155a85efb1f067f52e6288dedf4433ff2798fcba3	retain	reviewed-scope-authority	batch-census-20260824	classification-batch sha256:artifact
0011927c0ce327170792d7fdb361678711712229642ea5a883a7d5fd6dc23989	6726ce24b194dcab83e81c443c7022c72bbe15dbfcd556792915f0bf0b080b8e	retain	reviewed-scope-authority	batch-census-20260824	classification-batch sha256:artifact
0011c7c736db310e9f0d9084f2efad3a2a3acc95cbde91499d1f03079db995ee	726a1a151e497e24f722f2f443389cf6a08a27388ff42e6f4432429cb6567e20	retain	ratcheted-preexisting-debt	wave-b-20260824	review-decision Recount=baseline (1); unique non-zero key, target present.
0015b4da1b7afc137abd1b53970667b0e63cd12744d69f62af53f7c7d215053c	c09cbf7621881b748c2fea213f96215c81f8331b95217e8143fc2455a2707664	retain	reviewed-scope-authority	batch-census-20260824	classification-batch sha256:artifact
001745ac970f01a910c75a3174ed8ce05012329f23f64423aa913cbe76acb1fa	38408add4eadf61853da0858b718ed900c108c1fdff5728bdf13d4eb39bf7eeb	retain	ratcheted-preexisting-debt	wave-b-20260824	review-decision examples/ TU cross-compiled only (ra8_add_app, arm-none-eabi); firmware-composition re-derived by root; in live census.
001897c665f1a248f7c2df939de63e219c589369e70e73af9de4c31794b5a895	c96fef50e2589b95257f61390732c17888ab2c2c57e126ba5ef8d05486ba6886	retain	bounded-cleanup-status-mask	final-add456-reconcile-20260827	final-review consumer-or-assert source-context bounded immediate consumer; infra/ansible/roles/dev_box/tasks/hil_runner_transaction.yml:170 ansible/changed_when: Inspect the private HIL compiler-cache root without following links; accepted check-mode boundary retains reporting-only changed status
0018ac9ad2944e7b5fe2ca928fa36d659133defaec2eebaa90380db15c2971ad	74514486acc4df6d87aedec481998ec4793f04b240848d52ceadc44c9e7e53f4	resolved	resolved-construct-retired	misra-burn-down-20260827	removal-evidence exact MISRA baseline bucket absent after pinned 2026-08-27 zero-growth refresh; review-decision retired debt history preserved
